gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABTB2,108.7020901,0.384892815,0.316416159,1.216413272,0.223827531,0.663295775
ACAA1,1781.479323,-0.207438575,0.117298592,-1.768466018,0.076983028,0.489397666
ACAA2,4059.09548,0.041692148,0.17259595,0.241559247,0.809121703,0.951954779
ACACA,449.9117508,-0.272517362,0.279513811,-0.974969217,0.32957553,0.747356193
ACACB,9.639071794,-0.376165732,0.635021265,-0.592367142,0.553604764,NA
ACAD10,83.76904966,-0.012373496,0.185617078,-0.066661409,0.946851257,0.986975337
ACAD11,124.2758305,0.185154635,0.152364159,1.215211221,0.224285542,0.663381809
ACAD8,172.0001294,0.037978749,0.16678279,0.227713838,0.819868713,0.954536156
ACAD9,260.300143,-0.173773635,0.205285543,-0.846497189,0.397275441,0.786436423
ACADL,186.9489394,0.502864317,0.286621682,1.754453163,0.079352889,0.493775235
ACADM,102.9419877,0.116363689,0.323286574,0.359939749,0.718892191,0.924260512
ACADS,1500.745095,-0.146169561,0.165103251,-0.885322126,0.37598292,0.775026162
ACADSB,32.67825571,-0.060316949,0.292678374,-0.206086116,0.836723644,NA
ACADVL,2548.410744,0.195424415,0.209336618,0.933541473,0.350540468,0.760718526
ACAN,1.051209939,2.601878582,2.917712021,0.891753046,0.372525314,NA
ACAP1,1536.816022,-0.352455201,0.144562739,-2.438077779,0.014765597,0.311101545
ACAP2,661.6943417,0.074792036,0.183020345,0.408654217,0.682793436,0.912056454
ACAP3,96.03988047,-0.265044673,0.234539555,-1.130063852,0.25844932,0.690523447
ACAT1,1675.577311,0.38177433,0.240185209,1.589499751,0.11194761,0.54623719
ACAT2,727.6547801,0.099572558,0.16063278,0.619876948,0.535338804,0.865747699
ACBD3,72.14802684,0.204173273,0.199798389,1.021896496,0.306829891,0.732458304
ACBD4,149.7846777,-0.223785204,0.13071994,-1.711943897,0.086907008,0.510641305
ACBD5,62.19818723,0.248972585,0.251880738,0.988454247,0.322930232,0.743161973
ACBD6,435.5596333,-0.099853012,0.159242614,-0.627049567,0.530626744,0.862927039
ACBD7,5.131282964,-0.541273009,0.620478889,-0.87234718,0.383019006,NA
ACCS,57.89536483,0.32372019,0.268934907,1.203712057,0.22870089,NA
ACCSL,1.389833548,-0.012650319,1.043647068,-0.012121261,0.990328869,NA
ACD,84.19039448,-0.368720268,0.260579961,-1.414998553,0.15706892,0.59479019
ACE2,0.888878417,0.341866233,1.479363472,0.231090087,0.817244816,NA
ACER1,16.80978122,-0.319658774,0.397024392,-0.80513636,0.420740996,NA
ACER2,412.8763833,-0.650375244,0.354382937,-1.835232956,0.06647118,0.470815457
ACER3,372.2453647,0.390672753,0.238610539,1.637282052,0.101571549,0.535615993
ACHE,14.11745614,-0.49902599,0.631563949,-0.790143247,0.429444116,NA
ACIN1,2009.550961,-0.305903881,0.21093405,-1.450234709,0.146993079,0.584404214
