gene,ensembl id,log2FoldChange,lfcSE,stat,pvalue,padj
LOC103675123,,-0.914911343,0.317153964,-2.884754559,0.003917189,0.592246748
LOC103658908,,0.353901184,0.123059719,2.87584911,0.004029423,0.59488561
LOC103669091,,-0.360378236,0.125378691,-2.874318066,0.00404901,0.59488561
PLA2G4F,,-1.600628954,0.556817166,-2.874604179,0.004045343,0.59488561
S100A9,,0.435709448,0.151754087,2.871154624,0.004089754,0.596177531
BDH1,,0.467073387,0.163132764,2.863148858,0.004194535,0.60238932
LOC103672032,,-0.311784438,0.108902539,-2.862967577,0.004196935,0.60238932
LOC103682345,,-0.407260926,0.142568679,-2.856594649,0.004282123,0.609924697
ABTB2,,0.364667223,0.12875485,2.832260082,0.004622024,0.613092925
ANKRD2,,0.399938197,0.14163902,2.823644205,0.004748106,0.613092925
CD3E,,-0.270426271,0.095989514,-2.817248044,0.00484371,0.613092925
CNIH3,,-0.662144675,0.233971864,-2.830018375,0.004654533,0.613092925
CPNE5,,-1.322618022,0.46721348,-2.830864433,0.004642239,0.613092925
ETS1,,-0.275287511,0.096976072,-2.838715837,0.004529547,0.613092925
